data,artista_podcast,horas
01/09/2021,AC/DC,0.0004975
01/09/2021,AC/DC,0.00046194444444444446
01/09/2021,The Rolling Stones,0.0005747222222222222
01/09/2021,AC/DC,0.0005155555555555556
01/09/2021,The Beatles,0.0006636111111111111
01/09/2021,The Beatles,0.0008769444444444444
01/09/2021,Black Sabbath,0.0007583333333333333
01/09/2021,Aerosmith,0.07076138888888889
01/09/2021,The Rolling Stones,0.0007583333333333333
01/09/2021,AC/DC,0.0007583333333333333
01/09/2021,The Beatles,0.0007819444444444445
01/09/2021,AC/DC,0.0008294444444444445
01/09/2021,AC/DC,0.0011138888888888889
01/09/2021,Led Zeppelin,0.08208499999999999
01/09/2021,The Beatles,0.0015169444444444445
01/09/2021,Black Sabbath,0.001303611111111111
01/09/2021,The Rolling Stones,0.0006161111111111111
01/09/2021,Led Zeppelin,0.0011613888888888889
01/09/2021,The Beatles,0.000545
01/09/2021,Led Zeppelin,0.0015880555555555554
01/09/2021,Black Sabbath,0.001137777777777778
01/09/2021,The Beatles,0.0013983333333333335
01/09/2021,Led Zeppelin,0.0005924999999999999
01/09/2021,AC/DC,0.0008294444444444445
01/09/2021,AC/DC,0.020865555555555557
01/09/2021,Eric Clapton,0.0007819444444444445
01/09/2021,Led Zeppelin,0.13472583333333335
01/09/2021,R.E.M.,0.07456277777777777
01/09/2021,Led Zeppelin,0.005212499999999999
01/12/2021,Black Sabbath,0.10533083333333333
01/12/2021,Black Sabbath,0.0016058333333333335
13/01/2021,AC/DC,0.0009302777777777778
13/01/2021,AC/DC,0.00019555555555555556
13/01/2021,AC/DC,0.0001597222222222222
13/01/2021,AC/DC,7.694444444444444e-05
13/01/2021,AC/DC,0.00017777777777777776
13/01/2021,AC/DC,0.0002013888888888889
13/01/2021,AC/DC,0.0009125
13/01/2021,AC/DC,0.0004325
13/01/2021,AC/DC,0.00026055555555555554
14/01/2021,The Rolling Stones,0.0011022222222222223
14/01/2021,Led Zeppelin,0.0005508333333333334
14/01/2021,Pink Floyd,0.0006694444444444445
14/01/2021,Dire Straits,0.0004383333333333333
14/01/2021,Lynyrd Skynyrd,0.0005747222222222222
14/01/2021,R.E.M.,0.0036266666666666665
14/01/2021,R.E.M.,0.0096
14/01/2021,R.E.M.,0.003490277777777778
14/01/2021,R.E.M.,0.00036138888888888885
14/01/2021,R.E.M.,0.0029094444444444445
14/01/2021,R.E.M.,0.0010488888888888887
14/01/2021,R.E.M.,0.008337777777777777
14/01/2021,R.E.M.,0.0011197222222222223
14/01/2021,R.E.M.,0.0004086111111111111
14/01/2021,R.E.M.,0.0010666666666666667
14/01/2021,R.E.M.,0.0006694444444444445
14/01/2021,R.E.M.,0.017860555555555557
14/01/2021,R.E.M.,0.005487222222222222
14/01/2021,David Bowie,0.0004977777777777778
14/01/2021,David Bowie,0.0004502777777777778
14/01/2021,David Bowie,5.305555555555555e-05
14/01/2021,David Bowie,0.00018944444444444445
14/01/2021,David Bowie,0.0005094444444444444
14/01/2021,David Bowie,0.006311111111111111
14/01/2021,David Bowie,0.0013094444444444445
14/01/2021,David Bowie,0.0009183333333333334
14/01/2021,David Bowie,0.0013391666666666667
14/01/2021,Arctic Monkeys,0.017688888888888886
14/01/2021,Arctic Monkeys,0.000935
14/01/2021,David Bowie,0.009236111111111112
14/01/2021,David Bowie,6.444444444444444e-05
14/01/2021,AC/DC,0.0009672222222222222
14/01/2021,R.E.M.,0.020562499999999997
14/01/2021,Led Zeppelin,0.0009802777777777778
14/01/2021,Led Zeppelin,9.666666666666665e-05
14/01/2021,Arctic Monkeys,0.0012319444444444446
14/01/2021,Huey Lewis & The News,0.036539166666666664
15/01/2021,Huey Lewis & The News,0.03538777777777778
15/01/2021,AC/DC,0.07264055555555556
15/01/2021,Black Sabbath,0.09854805555555556
15/01/2021,Eric Clapton,0.080285
15/01/2021,Creedence Clearwater Revival,0.0051536111111111105
15/01/2021,The Beatles,0.0010252777777777777
15/01/2021,The Rolling Stones,0.0018575
15/01/2021,The Rolling Stones,0.0618925
15/01/2021,Led Zeppelin,0.06576666666666667
