data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-09,01/09/2021,Streets Of Love     2009 (The Rolling Stones),2560,0.042666666666666665,0.000711111111111111
2021-01-09,01/09/2021,Fire Your Guns (AC/DC),2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,Rock And A Hard Place (The Rolling Stones),2560,0.042666666666666665,0.000711111111111111
2021-01-09,01/09/2021,Who Made Who (AC/DC),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Sweet Emotion (Aerosmith),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Have You Ever Seen The Rain (Creedence Clearwater Revival),2133,0.03555,0.0005924999999999999
2021-01-09,01/09/2021,Have You Ever Seen The Rain (Creedence Clearwater Revival),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Have You Ever Seen The Rain (Creedence Clearwater Revival),2901,0.04835,0.0008058333333333333
2021-01-09,01/09/2021,Have You Ever Seen The Rain (Creedence Clearwater Revival),3840,0.064,0.0010666666666666667
2021-01-09,01/09/2021,"Hey, Hey, What Can I Do     (Led Zeppelin)",2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,"Hey, Hey, What Can I Do     (Led Zeppelin)",1535,0.025583333333333333,0.00042638888888888886
2021-01-09,01/09/2021,Since I've Been Loving You     (Led Zeppelin),3498,0.0583,0.0009716666666666666
2021-01-09,01/09/2021,Fire Your Guns (AC/DC),2133,0.03555,0.0005924999999999999
2021-01-09,01/09/2021,Fire Your Guns (AC/DC),8106,0.1351,0.0022516666666666666
2021-01-09,01/09/2021,Sympathy For The Devil   50th Anniversary Edition (The Rolling Stones),2304,0.0384,0.0006399999999999999
2021-01-09,01/09/2021,Sympathy For The Devil   50th Anniversary Edition (The Rolling Stones),2474,0.04123333333333333,0.0006872222222222222
2021-01-09,01/09/2021,Sympathy For The Devil   50th Anniversary Edition (The Rolling Stones),3071,0.05118333333333333,0.0008530555555555555
